[COM1]#BESTPOSA,COM1,0,72.0,FINESTEERING,2421,109493.000,02000000,cdba,18017;SOL_COMPUTED,SINGLE,45.73246187973,126.62859335131,141.1050,13.8000,WGS84,1.4180,1.4493,2.5871,"",0.000,0.000,29,26,26,26,00,06,30,33*c48b16bd

[COM1]#GPSEPHEMA,COM1,11,70.5,SATTIME,2421,98940.000,02000000,1214,18017;4,98940.0,0,77,77,2421,2421,100800.0,2.656060140e+07,4.090170372e-09,-2.073370479e+00,3.7581383949e-03,-2.880306581e+00,-2.849847078e-06,1.006014645e-05,1.94250000e+02,-5.04375000e+01,5.215406418e-08,-5.960464478e-08,9.7187639094e-01,5.643092200e-10,-2.716170521e+00,-7.56210071e-09,845,100800.0,-4.656612873e-09,5.87841e-05,1.13687e-12,0.00000,TRUE,1.458559808e-04,4.00000000e+00*44a79ee9
#GPSEPHEMA,COM1,10,70.5,SATTIME,2421,109050.000,02000000,1214,18017;6,109050.0,0,32,32,2421,2421,115200.0,2.656053486e+07,4.086598795e-09,-1.649461174e+00,3.7063354393e-03,-5.2632742893e-01,3.008171916e-06,6.724148989e-07,3.81125000e+02,5.75312500e+01,-5.587935448e-08,-1.862645149e-08,9.8588948719e-01,7.714607059e-11,1.460754799e+00,-8.15605402e-09,32,115200.0,3.725290298e-09,-5.96942e-04,4.77485e-12,0.00000,TRUE,1.458565253e-04,4.00000000e+00*4ebabae3
#GPSEPHEMA,COM1,9,70.5,SATTIME,2421,107490.000,02000000,1214,18017;9,107490.0,0,44,44,2421,2421,108000.0,2.656093625e+07,4.115528571e-09,-1.2601471005e-01,3.4647005377e-03,2.039374678e+00,-3.211200237e-06,1.005269587e-05,1.87250000e+02,-5.75625000e+01,-1.117587090e-08,-1.862645149e-09,9.6617191890e-01,5.189501878e-10,-2.781045158e+00,-7.69567770e-09,44,108000.0,4.656612873e-10,7.43041e-04,-5.00222e-12,0.00000,TRUE,1.458532480e-04,4.00000000e+00*44d0f471
#GPSEPHEMA,COM1,8,70.5,SATTIME,2421,109470.000,02000000,1214,18017;11,109470.0,0,134,134,2421,2421,115200.0,2.655980458e+07,4.641621914e-09,-4.2426713346e-01,2.3121737177e-03,-2.356139465e+00,2.501532435e-06,3.855675459e-07,3.73375000e+02,4.99062500e+01,-1.303851604e-08,6.146728992e-08,9.6278606816e-01,-1.750072898e-11,1.477554734e+00,-8.43427989e-09,134,115200.0,-8.847564459e-09,-3.21380e-04,1.25056e-11,0.00000,TRUE,1.458630958e-04,4.00000000e+00*6f56c446
#GPSEPHEMA,COM1,7,70.5,SATTIME,2421,98940.000,02000000,1214,18017;17,98940.0,0,76,76,2421,2421,100800.0,2.656013928e+07,4.253748614e-09,-1.796488449e+00,1.2591281440e-02,-1.106564530e+00,6.293877959e-06,8.454546332e-06,2.19562500e+02,1.20406250e+02,-1.583248377e-07,2.793967724e-07,9.5839696867e-01,-1.310768884e-10,4.4281054321e-01,-7.87282793e-09,76,100800.0,-1.071020961e-08,-1.46726e-04,-7.61702e-12,0.00000,TRUE,1.458599509e-04,4.00000000e+00*929da235
#GPSEPHEMA,COM1,6,70.5,SATTIME,2421,98940.000,02000000,1214,18017;19,98940.0,0,80,80,2421,2421,100800.0,2.656112821e+07,4.367324774e-09,-9.6138899017e-02,1.1577577563e-02,2.987612262e+00,5.437061191e-06,7.748603821e-06,2.32375000e+02,1.07531250e+02,2.235174179e-07,-3.725290298e-08,9.5753329402e-01,-1.367914122e-10,4.8661036756e-01,-8.07247911e-09,80,100800.0,-1.536682248e-08,7.01072e-04,7.95808e-13,0.00000,TRUE,1.458519187e-04,4.00000000e+00*398b325b
#GPSEPHEMA,COM1,5,70.5,SATTIME,2421,109470.000,02000000,1214,18017;21,109470.0,0,65,65,2421,2421,115200.0,2.655922813e+07,4.251248510e-09,2.624108595e+00,7.8379467595e-04,-1.1613407649e-01,-6.316229701e-06,4.354864359e-06,2.98750000e+02,-1.21437500e+02,8.381903172e-08,-2.793967724e-08,9.6397446673e-01,-2.164375869e-10,2.502019251e+00,-8.03640618e-09,833,115200.0,-9.778887033e-09,4.11961e-04,-2.16005e-12,0.00000,TRUE,1.458674542e-04,4.00000000e+00*e50bce21
#GPSEPHEMA,COM1,4,70.5,SATTIME,2421,109470.000,02000000,1214,18017;5,109470.0,0,101,101,2421,2421,115200.0,2.656115027e+07,3.939092650e-09,6.4581522756e-01,5.6032482535e-03,1.444579592e+00,-5.630776286e-06,4.157423973e-06,3.14968750e+02,-1.08406250e+02,-4.842877388e-08,-1.359730959e-07,9.8096442865e-01,-2.621537769e-10,2.437550544e+00,-7.93461622e-09,101,115200.0,-1.071020961e-08,-2.33631e-04,-4.54747e-13,0.00000,TRUE,1.458513088e-04,4.00000000e+00*e40b6601
#GPSEPHEMA,COM1,3,70.5,SATTIME,2421,109470.000,02000000,1214,18017;7,109470.0,0,91,91,2421,2421,115200.0,2.655949288e+07,5.021280585e-09,-2.457602384e+00,2.0877372590e-02,-1.964763483e+00,5.401670933e-08,5.001202226e-06,2.71343750e+02,5.50000000e+00,3.259629011e-07,3.725290298e-09,9.5055273317e-01,5.243075538e-10,-1.708402512e+00,-7.80139639e-09,91,115200.0,-1.071020961e-08,-1.91002e-04,-4.09273e-12,0.00000,TRUE,1.458660432e-04,4.00000000e+00*2bd4eb01
